"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Clayton Kershaw\kershcl01","LAD",30,2,"14%",5.8,12,4,0.75,1.69,21,21,0,3,3,0,149,97,31,28,8,11,1,172,2,3,5,544,0.725,237,10,9,1,2,1
3,"Kyle Hendricks\hendrky01","CHC",85,2,"40%",5.4,16,8,0.667,2.13,31,30,0,2,1,0,190,142,53,45,15,44,3,170,8,0,5,745,0.979,196,5,10,2,6,2
2,"Jon Lester\lestejo01","CHC",102,1,"49%",5.6,19,5,0.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,1.016,171,2,6,3,3,3
8,"Noah Syndergaard\syndeno01","NYM",15,0,"7%",5,14,9,0.609,2.6,31,30,0,0,0,0,183.2,168,61,53,11,43,2,218,2,1,10,744,1.149,155,9,4,4,7,4
10,"Tanner Roark\roarkta01","WSN",1,0,"0%",5.6,16,10,0.615,2.83,34,33,0,0,0,0,210,173,72,66,17,73,4,172,13,1,6,855,1.171,151,7,8,7,4,5
4,"Madison Bumgarner\bumgama01","SFG",46,0,"22%",4.8,15,9,0.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,1.028,146,8,3,5,8,6
1,"Max Scherzer\scherma01","WSN",192,25,"91%",6.3,20,7,0.741,2.96,34,34,0,1,0,0,228.1,165,77,75,31,56,2,284,6,1,2,902,0.968,144,1,1,9,1,7
6,"Johnny Cueto\cuetojo01","SFG",19,0,"9%",5.5,18,5,0.783,2.79,32,32,0,5,2,0,219.2,195,71,68,15,45,1,198,8,1,3,881,1.093,144,3,5,6,5,8
7,"Jose Fernandez\fernajo02","MIA",18,0,"9%",4.1,16,8,0.667,2.86,29,29,0,0,0,0,182.1,149,63,58,13,55,6,253,6,1,9,737,1.119,137,6,2,8,9,9
9,"Jake Arrieta\arrieja01","CHC",2,0,"1%",3.7,18,8,0.692,3.1,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,1.084,135,4,7,10,10,10
